Step,Temperature_RAW,Strain1_RAW,Strain2_RAW
0,250,65504,65535
1,254,65535,65535
2,253,65535,65535
3,250,65535,65535
4,251,65535,65535
5,251,65535,65535
6,250,65535,65535
7,250,65535,65535
8,251,65535,65535
9,251,65535,65535
10,251,65535,65535
11,251,65535,65535
12,250,65535,65535
13,251,65535,65535
14,251,65535,65535
15,251,65535,65535
16,252,65535,65535
17,251,65535,65535
18,250,65535,65535
19,251,65535,65535
20,251,65535,65535
21,251,65535,65535
22,251,65535,65535
23,251,65535,65535
24,251,65535,65535
25,251,65535,65535
26,252,65535,65535
27,251,65535,65535
28,251,65535,65535
29,251,65535,65535
30,251,65535,65535
31,252,65535,65535
32,250,65535,65535
33,251,65535,65535
34,251,65535,65535
35,251,65535,65535
36,251,65535,65535
37,251,65535,65535
38,250,65535,65535
39,252,65535,65535
40,251,65535,65535
41,252,65535,65535
42,252,65535,65535
43,251,65535,65535
44,251,65535,65535
45,251,65535,65535
46,252,65535,65535
47,251,65535,65535
48,250,65535,65535
49,252,65535,65535
50,251,65535,65535
51,251,65535,65535
52,252,65535,65535
53,252,65535,65535
54,252,65535,65535
55,250,65535,65535
56,251,65535,65535
57,252,65535,65535
58,250,65535,65535
59,251,65535,65535
60,250,65535,65535
61,251,65535,65535
62,251,65535,65535
63,251,65535,65535
64,251,65535,65535
65,251,65535,65535
66,252,65535,65535
67,251,65535,65535
68,251,65535,65535
69,250,65535,65535
70,251,65535,65535
71,251,65535,65535
72,249,65535,65535
73,251,65535,65535
74,251,65535,65535
75,251,65535,65535
76,251,65535,65535
77,249,65535,65535
78,251,65535,65535
79,250,65535,65535
80,250,65535,65535
81,251,65535,65535
82,251,65535,65535
83,249,65535,65535
84,251,65535,65535
85,251,65535,65535
86,250,65535,65535
87,251,65535,65535
88,251,65535,65535
89,250,65535,65535
90,251,65535,65535
91,251,65535,65535
92,251,65535,65535
93,251,65535,65535
94,251,65535,65535
95,251,65535,65535
96,250,65535,65535
97,251,65535,65535
98,249,65535,65535
99,251,65535,65535
100,251,65535,65535
101,251,65535,65535
102,251,65535,65535
103,251,65535,65535
104,249,65535,65535
105,251,65535,65535
106,251,65535,65535
107,249,65535,65535
108,251,65535,65535
109,251,65535,65535
110,250,65535,65535
111,250,65535,65535
112,251,65535,65535
113,251,65535,65535
114,251,65535,65535
115,251,65535,65535
116,251,65535,65535
117,250,65535,65535
118,252,65535,65535
119,251,65535,65535
120,251,65535,65535
121,249,65535,65535
122,251,65535,65535
123,251,65535,65535
124,250,65535,65535
125,251,65535,65535
126,251,65535,65535
127,250,65535,65535
128,250,65535,65535
129,252,65535,65535
130,252,65535,65535
131,250,65535,65535
132,251,65535,65535
133,251,65535,65535
134,251,65535,65535
135,250,65535,65535
136,250,65535,65535
137,250,65535,65535
138,251,65535,65535
139,251,65535,65535
140,251,65535,65535
141,252,65535,65535
142,251,65535,65535
143,251,65535,65535
144,251,65535,65535
145,251,65535,65535
146,252,65535,65535
147,251,65535,65535
148,251,65535,65535
149,251,65535,65535
150,251,65535,65535
151,251,65535,65535
152,251,65535,65535
153,250,65535,65535
154,251,65535,65535
155,250,65535,65535
156,251,65535,65535
157,250,65535,65535
158,250,65535,65535
159,251,65535,65535
160,251,65535,65535
161,250,65535,65535
162,250,65535,65535
163,250,65535,65535
164,251,65535,65535
165,251,65535,65535
166,252,65535,65535
167,251,65535,65535
168,251,65535,65535
169,251,65535,65535
170,252,65535,65535
171,251,65535,65535
172,251,65535,65535
173,251,65535,65535
174,251,65535,65535
175,250,65535,65535
176,251,65535,65535
177,252,65535,65535
178,251,65535,65535
179,251,65535,65535
180,252,65535,65535
181,252,65535,65535
182,251,65535,65535
183,249,65535,65535
184,251,65535,65535
185,251,65535,65535
186,250,65535,65535
187,251,65535,65535
188,251,65535,65535
189,252,65535,65535
190,251,65535,65535
191,251,65535,65535
192,251,65535,65535
193,251,65535,65535
194,251,65535,65535
195,251,65535,65535
196,251,65535,65535
197,252,65535,65535
198,252,65535,65535
199,251,65535,65535
200,251,65535,65535
201,252,65535,65535
202,252,65535,65535
203,251,65535,65535
204,252,65535,65535
205,251,65535,65535
206,251,65535,65535
207,251,65535,65535
208,251,65535,65535
209,251,65535,65535
210,251,65535,65535
211,251,65535,65535
212,251,65535,65535
213,252,65535,65535
214,251,65535,65535
215,251,65535,65535
216,252,65535,65535
217,251,65535,65535
218,250,65535,65535
219,251,65535,65535
220,252,65535,65535
221,251,65535,65535
222,251,65535,65535
223,251,65535,65535
224,251,65535,65535
225,251,65535,65535
226,250,65535,65535
227,251,65535,65535
228,251,65535,65535
229,252,65535,65535
230,251,65535,65535
231,250,65535,65535
232,251,65535,65535
233,251,65535,65535
234,251,65535,65535
235,251,65535,65535
236,251,65535,65535
237,251,65535,65535
238,251,65535,65535
239,250,65535,65535
240,252,65535,65535
241,251,65535,65535
242,251,65535,65535
243,251,65535,65535
244,252,65535,65535
245,251,65535,65535
246,251,65535,65535
247,251,65535,65535
248,251,65535,65535
249,251,65535,65535
250,251,65535,65535
251,252,65535,65535
252,251,65535,65535
253,251,65535,65535
254,251,65535,65535
255,251,65535,65535
256,251,65535,65535
257,251,65535,65535
258,251,65535,65535
259,251,65535,65535
260,250,65535,65535
261,251,65535,65535
262,251,65535,65535
263,250,65535,65535
264,252,65535,65535
265,251,65535,65535
266,252,65535,65535
267,251,65535,65535
