Step,Temperature_RAW,Strain1_RAW,Strain2_RAW
268,252,65535,65535
269,249,65535,65535
270,251,65535,65535
271,250,65535,65535
272,251,65535,65535
273,251,65535,65535
274,252,65535,65535
275,252,65535,65535
276,252,65535,65535
277,251,65535,65535
278,252,65535,65535
279,252,65535,65535
280,252,65535,65535
281,252,65535,65535
282,251,65535,65535
283,251,65535,65535
284,251,65535,65535
285,251,65535,65535
286,251,65535,65535
287,251,65535,65535
288,251,65535,65535
289,251,65535,65535
290,251,65535,65535
291,251,65535,65535
292,251,65535,65535
293,249,65535,65535
294,251,65535,65535
295,251,65535,65535
296,251,65535,65535
297,251,65535,65535
298,251,65535,65535
299,251,65535,65535
300,251,65535,65535
301,251,65535,65535
302,250,65535,65535
303,250,65535,65535
304,252,65535,65535
305,251,65535,65535
306,251,65535,65535
307,251,65535,65535
308,250,65535,65535
309,251,65535,65535
310,251,65535,65535
311,251,65535,65535
312,251,65535,65535
313,252,65535,65535
314,251,65535,65535
315,252,65535,65535
316,251,65535,65535
317,252,65535,65535
318,251,65535,65535
