Step,Temperature_RAW,Strain1_RAW,Strain2_RAW
0,245,65148,65015
1,255,64983,64983
2,255,64980,64980
3,255,64978,64977
4,255,64975,64976
5,255,64974,64974
6,255,64972,64972
7,255,64970,64970
8,255,64969,64969
9,255,64968,64968
10,255,64967,64967
11,255,64966,64965
12,255,64965,64965
13,255,64964,64964
14,255,64963,64963
15,255,64962,64962
16,255,64962,64962
17,255,64961,64961
18,255,64960,64960
19,255,64960,64960
20,255,64960,64960
21,255,64959,64960
22,255,64959,64959
23,255,64958,64958
24,255,64957,64957
25,255,64957,64957
26,255,64957,64957
27,255,64957,64957
28,255,64956,64956
29,255,64956,64956
30,255,64955,64955
31,255,64955,64955
32,255,64955,64955
33,255,64955,64955
34,255,64954,64954
35,255,64954,64954
36,255,64954,64954
37,255,64953,64954
38,255,64953,64954
39,255,64953,64953
40,255,64953,64953
41,255,64953,64953
42,255,64951,64952
43,255,64951,64952
44,255,64951,64951
45,255,64952,64952
46,255,64951,64951
47,255,64951,64951
48,255,64951,64952
49,255,64952,64951
50,255,64951,64951
51,255,64951,64951
52,255,64950,64951
53,255,64951,64951
54,255,64950,64950
55,255,64949,64950
56,255,64951,64951
57,255,64950,64949
58,254,64949,64950
59,255,64949,64949
60,255,64949,64950
61,255,64948,64949
62,254,64949,64949
63,255,64949,64949
64,255,64949,64949
65,255,64949,64949
66,255,64948,64948
67,255,64948,64948
68,255,64948,64948
69,255,64947,64948
70,255,64948,64948
71,255,64947,64946
72,255,64947,64947
73,255,64947,64947
74,255,64947,64948
75,255,64946,64947
76,255,64946,64947
77,255,64946,64946
78,254,64946,64946
79,254,64946,64946
80,255,64946,64946
81,255,64946,64946
82,254,64947,64947
83,255,64946,64947
84,255,64946,64946
85,255,64946,64946
86,255,64946,64946
87,255,64946,64946
88,255,64946,64946
89,255,64946,64946
90,255,64945,64946
91,255,64946,64947
92,255,64946,64946
93,255,64945,64945
94,255,64946,64946
95,255,64946,64946
96,255,64945,64946
97,255,64945,64945
98,255,64945,64946
99,255,64945,64946
100,255,64945,64945
101,255,64945,64945
102,254,64945,64945
103,255,64945,64945
104,255,64945,64945
105,255,64945,64946
106,255,64945,64945
107,255,64944,64945
108,255,64945,64945
109,255,64944,64945
110,255,64944,64944
111,255,64944,64945
112,255,64944,64944
113,255,64944,64944
114,255,64944,64944
115,255,64944,64944
116,255,64944,64944
117,255,64943,64943
118,255,64943,64943
119,255,64943,64943
120,254,64944,64945
121,255,64944,64945
122,255,64944,64944
123,255,64944,64944
124,255,64944,64943
125,255,64943,64943
126,255,64944,64944
127,255,64944,64944
128,255,64943,64943
129,255,64944,64944
130,255,64943,64944
131,255,64944,64944
132,255,64944,64944
133,255,64944,64944
134,255,64943,64943
135,255,64943,64943
136,255,64943,64943
137,255,64943,64943
138,255,64943,64943
139,255,64943,64943
140,255,64943,64943
141,255,64942,64943
142,255,64943,64943
143,255,64942,64942
144,255,64942,64943
145,255,64943,64943
146,255,64943,64943
147,255,64943,64943
148,255,64943,64944
149,255,64943,64944
150,255,64943,64943
151,255,64943,64943
152,255,64943,64944
153,255,64943,64943
154,255,64943,64943
155,255,64943,64944
156,255,64943,64943
157,255,64943,64943
158,255,64943,64943
159,255,64943,64942
160,255,64943,64943
161,255,64943,64943
162,255,64943,64943
163,255,64942,64942
164,255,64943,64943
165,255,64943,64942
166,255,64942,64943
167,255,64943,64943
168,255,64942,64941
169,255,64942,64943
170,255,64943,64942
171,255,64942,64942
172,255,64942,64942
173,255,64943,64943
174,255,64942,64943
175,254,64942,64942
176,255,64942,64942
177,255,64941,64941
178,255,64941,64941
179,255,64942,64942
180,255,64941,64942
181,255,64941,64941
182,255,64941,64942
183,255,64941,64941
184,255,64941,64941
185,255,64941,64941
186,255,64941,64942
187,255,64942,64941
188,255,64941,64941
189,255,64941,64941
190,255,64942,64941
191,255,64941,64941
192,255,64942,64941
193,255,64940,64942
194,255,64942,64942
195,255,64941,64941
196,255,64942,64942
197,255,64941,64941
198,255,64941,64941
199,255,64941,64942
200,255,64941,64942
201,255,64941,64941
202,255,64940,64941
203,255,64940,64941
204,255,64941,64941
205,255,64941,64941
206,255,64940,64940
207,255,64940,64940
208,255,64940,64940
209,255,64940,64940
210,255,64940,64940
211,255,64939,64940
212,255,64939,64939
213,255,64940,64939
214,255,64940,64940
215,255,64940,64940
216,255,64940,64939
217,255,64940,64939
218,255,64939,64939
219,255,64939,64939
220,255,64939,64939
221,255,64939,64939
222,255,64938,64939
223,255,64940,64940
224,255,64939,64939
225,255,64938,64938
226,255,64938,64939
227,255,64938,64939
228,255,64939,64939
229,255,64939,64940
230,255,64939,64939
231,255,64938,64939
232,255,64939,64939
233,255,64938,64939
234,255,64939,64939
235,254,64938,64939
236,255,64939,64938
237,255,64938,64939
238,255,64939,64940
239,255,64939,64939
240,255,64939,64939
241,255,64938,64938
242,255,64938,64938
243,255,64938,64938
244,255,64938,64938
245,255,64939,64939
246,255,64939,64939
247,255,64939,64939
248,255,64939,64939
249,255,64939,64939
250,255,64938,64938
251,255,64938,64939
252,255,64939,64939
253,255,64939,64939
254,255,64939,64940
255,255,64939,64939
256,255,64939,64938
257,255,64939,64939
258,255,64939,64939
259,255,64938,64938
260,255,64939,64939
261,255,64938,64939
262,255,64939,64939
263,255,64938,64939
