Step,Temperature_RAW,Strain1_RAW,Strain2_RAW
264,255,64938,64938
265,255,64938,64939
266,255,64938,64938
267,255,64938,64938
268,255,64939,64939
269,255,64938,64938
270,255,64938,64938
271,255,64938,64939
272,255,64938,64938
273,255,64938,64938
274,255,64938,64938
275,255,64938,64938
276,255,64938,64938
277,255,64938,64938
278,255,64938,64938
279,255,64938,64938
280,255,64938,64937
281,255,64938,64938
282,255,64938,64938
283,255,65308,65309
284,255,65314,65313
285,255,64958,64957
286,255,65304,65292
287,255,65313,65314
288,255,65315,65315
289,255,64967,64965
290,255,65316,65316
291,255,65317,65317
292,255,65317,65317
293,255,64966,64964
294,255,64951,64951
295,255,64946,64947
296,255,64944,64944
297,255,64943,64943
298,255,64943,64987
299,255,64948,64947
300,255,64943,64944
301,255,64941,65097
302,255,64942,64942
303,255,64941,64941
304,255,65305,65306
305,255,64946,64945
306,255,64943,64943
307,255,64941,64941
308,255,64941,64941
309,255,64940,64940
310,255,64939,64940
311,255,64939,64939
312,255,64940,64940
313,255,64938,64939
314,254,64940,64940
315,255,64939,64939
316,255,64938,64939
317,255,64939,64939
318,255,64939,64939
